id,year,age,educ,networth
944,1992,44,2,591588.8
945,1992,22,3,1450.4
946,1992,72,1,352856.4
947,1992,23,2,518
948,1992,46,2,22791.7
949,1992,95,1,60770.9
950,1992,82,1,76248.5
951,1992,25,2,183783.7
952,1992,40,3,57393.6
953,1992,34,1,124111
954,1992,52,1,0
955,1992,26,4,3938.8
956,1992,64,3,104344.4
957,1992,50,4,2117760.2
958,1992,41,4,310132.4
959,1992,45,4,621798.1
960,1992,39,2,2962.9
961,1992,38,2,107224.4
962,1992,74,1,160992
963,1992,30,4,-5179.9
964,1992,81,1,83293.2
965,1992,53,4,1215831.8
966,1992,53,4,836868.6
967,1992,42,2,192651.7
968,1992,52,3,119863.4
969,1995,28,2,17476.9
970,1995,40,3,32708.7
971,1995,53,3,197123.2
972,1995,66,2,2326770.1
973,1995,45,4,167608
974,1995,31,2,-11941.6
975,1995,47,2,1838.7
976,1995,45,2,234573.7
977,1995,35,4,284991.6
978,1995,49,2,-10644.8
979,1995,26,2,271
980,1995,26,2,348.4
981,1995,24,4,-58895
982,1995,38,4,1219.3
983,1995,39,1,37353.7
984,1995,32,3,224064.4
985,1995,52,1,632884.6
986,1995,80,1,0
987,1995,69,1,0
988,1995,52,4,102674.4
989,1995,52,2,339048.1
990,1995,75,2,329022.6
991,1995,77,4,305042.6
992,1995,54,3,142253.9
993,1995,36,4,1006421.9
994,1995,44,2,97545.5
995,1995,48,1,0
996,1995,30,2,-2322.5
997,1995,33,4,86842.6
998,1995,79,4,692108.6
999,1995,70,1,42192.3
1000,1995,35,4,197645.8
1001,1995,50,2,195768.4
1002,1995,33,4,89765.1
1003,1995,58,4,2111649.3
1004,1995,69,2,137337.9
1005,1995,38,2,1161.3
1006,1995,58,2,45289
1007,1995,40,3,1035511.4
1008,1995,71,2,94061.7
1009,1995,44,4,202890.8
